,0,,没有影响,
,1,,是的,
,3,,是的，非常有助,
PQ30,A,Feasibility of Project Implementation / 项目实施的可行性,当地政府的项目预算是否已落实资金保障,Has funding been secured/allocated within the local government budget for this project
,0,,当地政府预算未对该项目分配资金,
,1,,不需要，所有费用均由国家 /地区预算承担,
,2,,是的，当地政府预算将承担项目部分费用,
,3,,是的，当地政府预算将承担项目全部费用,
PQ31,B,Feasibility of Project Implementation / 项目实施的可行性,资金是否通过外部融资渠道得到保障，以及/或者是否有外部融资潜力,Have external sources of funding been secured
,0,,无需外部融资来源,
,1,,有可能获得国家/地区拨款,
,1,,有可能获得优惠贷款,
,2,,有可能获得私营部门投资,
,3,,已获得国家/地区拨款,
,3,,已获得优惠贷款,
,3,, 私营部门已承诺提供资金承诺,
PQ32,C,Feasibility of Project Implementation / 项目实施的可行性,项目能否带来直接收入,Will the project bring in direct revenue
,0,,没有直接收入,
,1,,直接收入可忽略不计,
,2,,收入能够承担运营和维护成本,
,3,,收入超过运营和维护成本,
PQ33,D,Feasibility of Project Implementation / 项目实施的可行性,项目能否带来间接收入,Will the project generate revenue indirectly (increase in local tax base)
,0,,无间接收入,
,1,,较少（当地税基至多增加4％）,
,2,,中度（当地税基增加5-7％）,
,3,,显著（当地税基增加>8％）,
PQ34,E,Feasibility of Project Implementation / 项目实施的可行性,项目是否降低目前的预算成本,Will the project decrease current budget costs
,-1,,增加现有成本,
,0,,无成本节约,
,1,,长期节约成本,
,2,,立即节约成本,
PQ35,F,Feasibility of Project Implementation / 项目实施的可行性,提议费用征收系统的合理程度,To what extent is the system in place for collecting the proposed charges so they will actually be paid
,1,,将征收<60％的费用,
,2,,将征收60-90％的费用,
,3,,将征收>90％的费用,
,0,,该设施不收费,
PQ36,G,Feasibility of Project Implementation / 项目实施的可行性,确保项目实施和运营的有力制度是否到位，或者是否需要外部支持,Is there a capable system in place to implement and operate this project or is external support needed
,0,,建设施工和运营维护需要外部专业知识,
,1,,仅建设施工阶段需要外部专业知识,
,2,,筹备阶段（即可行性研究）需要外部专业知识,
,3,,不需要外部专业知识,
PQ37,H,Feasibility of Project Implementation / 项目实施的可行性,金融/经济因素是否会对项目的完成/可持续性构成风险,Could financial/economic factors (incl. land acquisition) pose a risk to this project's completion/sustainability
,-1,,高风险,
,0,,中等风险,
,1,,低风险,
,3,,无风险,
PQ38,I,Feasibility of Project Implementation / 项目实施的可行性,政治因素是否会对项目的完成构成风险,Could political factors pose a risk to this project's completion/sustainability
,-1,,高风险,
,0,,中等风险,
,1,,低风险,
,3,,无风险,
PQ39,J,Feasibility of Project Implementation / 项目实施的可行性,如果存在风险，项目设计是否包括风险缓解策略,If there is risk，does the project design include a risk mitigation strategy
,-1,,尚未制定策略,
,0,,正在制定策略,
,2,,是的，已制定策略,
,3,,无风险,
